['SirJellyTheTrueVampireSniffer', 'QueenBarneyTheMightyDragonSniffer', 'DuchessShadowTheTrueVampireFinder', 'QueenFluffyTheMightyVampireEater', 'MasterTrinityTheHeroicDragonHunter', 'MasterBarneyTheHeroicVampireMaker', 'SirFluffyTheGreatMonsterHunter', 'MasterBarneyTheGreatDragonEater', 'MasterJellyTheGreatZombieHunter', 'QueenBeetleTheGreatMonsterFinder', 'DukeBeetleTheGreatMonsterSniffer', 'MasterFluffyTheTrueDragonMaker', 'SirSushiTheMightyZombieMaker', 'LordSushiTheTrueZombieSniffer', 'MadameShadowTheTrueMonsterMaker', 'LordBarneyTheHeroicVampireFinder', 'QueenSushiTheMightyRobotHunter', 'DukeBeetleTheHeroicRobotFinder', 'DukeBeetleTheHeroicDragonEater', 'QueenFluffyTheBraveDragonEater']
['DukeJellyTheTrueMonsterMaker', 'LordFluffyTheTrueMonsterMaker', 'SirFluffyTheBraveMonsterMaker', 'DuchessSushiTheGreatVampireFinder', 'LordBarneyTheBraveRobotFinder', 'MadameJellyTheGreatVampireFinder', 'SirTrinityTheMightyMonsterSniffer', 'MasterSushiTheHeroicZombieHunter', 'MadameBarneyTheBraveVampireSniffer', 'QueenFluffyTheBraveRobotHunter', 'DuchessBeetleTheTrueDragonEater', 'QueenShadowTheHeroicMonsterFinder', 'QueenTrinityTheHeroicZombieHunter', 'QueenShadowTheTrueRobotMaker', 'QueenTrinityTheHeroicZombieMaker', 'LordJellyTheTrueMonsterSniffer', 'QueenTrinityTheGreatRobotMaker', 'MasterBeetleTheHeroicZombieSniffer', 'SirFluffyTheBraveRobotEater', 'QueenShadowTheTrueRobotFinder']
['QueenJellyTheMightyMonsterMaker', 'MasterSushiTheMightyVampireHunter', 'DukeTrinityTheBraveRobotEater', 'DukeJellyTheHeroicRobotHunter', 'LordSushiTheBraveZombieSniffer', 'MasterShadowTheTrueDragonSniffer', 'MadameSushiTheMightyDragonSniffer', 'MadameFluffyTheHeroicVampireMaker', 'DukeJellyTheMightyRobotSniffer', 'QueenBeetleTheTrueRobotEater', 'SirFluffyTheGreatDragonSniffer', 'SirJellyTheMightyMonsterEater', 'DukeJellyTheMightyMonsterEater', 'MadameFluffyTheMightyZombieHunter', 'SirShadowTheBraveVampireSniffer', 'MasterBarneyTheBraveDragonMaker', 'DuchessFluffyTheHeroicDragonFinder', 'QueenJellyTheTrueMonsterHunter', 'SirTrinityTheMightyMonsterMaker', 'LordShadowTheBraveVampireMaker']
['MadameBarneyTheMightyVampireMaker', 'DukeBarneyTheTrueVampireEater', 'DuchessBarneyTheMightyVampireSniffer', 'DukeJellyTheTrueRobotFinder', 'QueenJellyTheHeroicZombieEater', 'MasterJellyTheMightyMonsterHunter', 'QueenJellyTheGreatMonsterFinder', 'SirFluffyTheTrueRobotEater', 'DuchessJellyTheHeroicVampireHunter', 'DuchessFluffyTheTrueVampireFinder', 'SirSushiTheBraveRobotHunter', 'DuchessTrinityTheHeroicRobotMaker', 'MadameFluffyTheHeroicVampireFinder', 'DukeSushiTheTrueDragonSniffer', 'DuchessTrinityTheMightyRobotEater', 'DuchessTrinityTheBraveDragonFinder', 'DuchessTrinityTheBraveVampireMaker', 'LordTrinityTheMightyDragonSniffer', 'LordSushiTheGreatDragonHunter', 'SirBeetleTheGreatRobotHunter']
['QueenJellyTheGreatRobotMaker', 'MasterBeetleTheHeroicZombieMaker', 'QueenFluffyTheBraveVampireHunter', 'SirBeetleTheHeroicMonsterEater', 'SirFluffyTheTrueMonsterFinder', 'QueenBarneyTheMightyMonsterEater', 'QueenTrinityTheBraveVampireSniffer', 'MasterTrinityTheHeroicZombieMaker', 'MasterBarneyTheBraveVampireFinder', 'QueenFluffyTheHeroicMonsterMaker', 'DukeBarneyTheMightyVampireSniffer', 'DukeJellyTheBraveRobotSniffer', 'SirJellyTheMightyRobotEater', 'QueenBarneyTheBraveVampireMaker', 'QueenBeetleTheGreatVampireHunter', 'SirFluffyTheHeroicZombieMaker', 'SirBeetleTheMightyMonsterFinder', 'MasterJellyTheGreatVampireSniffer', 'LordBarneyTheHeroicRobotFinder', 'MadameFluffyTheMightyMonsterHunter']
['LordSushiTheGreatRobotHunter', 'MasterFluffyTheTrueMonsterFinder', 'MadameTrinityTheBraveZombieSniffer', 'QueenBeetleTheBraveZombieFinder', 'QueenSushiTheMightyVampireEater', 'DukeBeetleTheGreatDragonHunter', 'DuchessBarneyTheGreatMonsterFinder', 'MasterSushiTheHeroicRobotHunter', 'DuchessJellyTheHeroicMonsterHunter', 'MadameBarneyTheTrueMonsterFinder', 'LordTrinityTheBraveZombieSniffer', 'QueenSushiTheBraveMonsterSniffer', 'MadameShadowTheMightyMonsterSniffer', 'MadameBarneyTheGreatRobotMaker', 'DuchessBeetleTheTrueRobotFinder', 'DuchessJellyTheBraveDragonSniffer', 'MasterJellyTheMightyDragonSniffer', 'SirSushiTheMightyVampireFinder', 'SirTrinityTheBraveVampireSniffer', 'LordSushiTheMightyZombieEater']
['MasterBarneyTheTrueVampireSniffer', 'DuchessBarneyTheGreatDragonHunter', 'SirBarneyTheGreatMonsterHunter', 'QueenJellyTheMightyZombieFinder', 'DukeShadowTheTrueMonsterEater', 'DukeSushiTheHeroicZombieHunter', 'MasterTrinityTheMightyMonsterMaker', 'MasterTrinityTheHeroicRobotFinder', 'MadameTrinityTheGreatMonsterMaker', 'QueenTrinityTheMightyMonsterHunter', 'DukeFluffyTheGreatRobotSniffer', 'SirSushiTheBraveZombieFinder', 'DukeSushiTheTrueDragonEater', 'SirBarneyTheGreatZombieMaker', 'QueenSushiTheHeroicMonsterSniffer', 'QueenSushiTheTrueMonsterFinder', 'SirFluffyTheHeroicZombieFinder', 'MasterSushiTheGreatZombieHunter', 'LordBeetleTheGreatRobotFinder', 'DukeJellyTheGreatVampireSniffer']
['SirTrinityTheHeroicVampireFinder', 'DukeBarneyTheHeroicRobotHunter', 'DuchessBarneyTheTrueDragonHunter', 'QueenShadowTheHeroicZombieFinder', 'LordSushiTheHeroicRobotMaker', 'MadameBeetleTheTrueMonsterSniffer', 'MadameJellyTheTrueVampireHunter', 'SirSushiTheBraveZombieEater', 'QueenBarneyTheMightyRobotFinder', 'DukeJellyTheBraveZombieFinder', 'SirBeetleTheMightyZombieFinder', 'DukeBeetleTheTrueMonsterMaker', 'MadameFluffyTheGreatRobotFinder', 'DukeTrinityTheBraveMonsterFinder', 'QueenJellyTheTrueDragonHunter', 'DukeBeetleTheHeroicRobotHunter', 'MadameTrinityTheMightyMonsterFinder', 'MadameSushiTheMightyMonsterFinder', 'DuchessShadowTheTrueRobotHunter', 'DukeFluffyTheBraveZombieMaker']
['SirFluffyTheTrueVampireSniffer', 'DuchessJellyTheGreatMonsterSniffer', 'LordFluffyTheMightyMonsterSniffer', 'LordBarneyTheBraveDragonSniffer', 'DuchessJellyTheMightyDragonMaker', 'MadameShadowTheBraveZombieHunter', 'QueenShadowTheTrueMonsterFinder', 'SirSushiTheTrueZombieFinder', 'QueenJellyTheHeroicRobotHunter', 'MadameJellyTheGreatZombieMaker', 'LordFluffyTheTrueZombieHunter', 'LordFluffyTheTrueZombieFinder', 'QueenJellyTheHeroicDragonEater', 'LordTrinityTheBraveMonsterMaker', 'LordBeetleTheHeroicZombieEater', 'DuchessJellyTheTrueMonsterSniffer', 'LordSushiTheGreatVampireHunter', 'MasterSushiTheMightyRobotSniffer', 'QueenFluffyTheMightyZombieFinder', 'MasterFluffyTheTrueVampireSniffer']
['SirShadowTheTrueMonsterEater', 'DuchessSushiTheTrueMonsterSniffer', 'QueenTrinityTheGreatDragonHunter', 'SirTrinityTheBraveZombieMaker', 'LordBarneyTheHeroicRobotSniffer', 'DukeJellyTheGreatMonsterSniffer', 'DuchessFluffyTheGreatDragonEater', 'MadameSushiTheMightyMonsterEater', 'DukeFluffyTheTrueVampireMaker', 'LordTrinityTheGreatMonsterEater', 'QueenSushiTheGreatZombieSniffer', 'LordTrinityTheBraveRobotFinder', 'QueenJellyTheGreatZombieEater', 'MasterBeetleTheHeroicVampireFinder', 'DuchessBeetleTheGreatVampireMaker', 'MadameTrinityTheGreatVampireHunter', 'LordBarneyTheBraveRobotHunter', 'SirBeetleTheTrueMonsterSniffer', 'LordBeetleTheGreatMonsterEater', 'SirTrinityTheHeroicZombieMaker']
['LordJellyTheBraveDragonEater', 'QueenTrinityTheBraveZombieHunter', 'LordFluffyTheMightyVampireSniffer', 'MasterTrinityTheBraveDragonHunter', 'QueenJellyTheHeroicZombieSniffer', 'MadameShadowTheGreatRobotHunter', 'QueenJellyTheBraveMonsterMaker', 'SirTrinityTheBraveMonsterHunter', 'LordSushiTheGreatMonsterSniffer', 'LordFluffyTheGreatVampireSniffer', 'MadameSushiTheMightyVampireEater', 'LordJellyTheMightyDragonMaker', 'SirBeetleTheTrueDragonFinder', 'LordBarneyTheMightyZombieEater', 'DukeBeetleTheMightyDragonSniffer', 'SirSushiTheBraveDragonHunter', 'MasterTrinityTheGreatDragonFinder', 'LordBarneyTheBraveMonsterHunter', 'DuchessShadowTheTrueRobotFinder', 'DukeBarneyTheMightyZombieHunter']
['SirJellyTheHeroicVampireEater', 'SirJellyTheBraveZombieFinder', 'QueenBarneyTheGreatVampireEater', 'DuchessJellyTheHeroicDragonSniffer', 'MadameFluffyTheBraveRobotFinder', 'MadameSushiTheMightyVampireHunter', 'DukeSushiTheTrueVampireMaker', 'MasterSushiTheTrueZombieFinder', 'MadameJellyTheTrueZombieHunter', 'DuchessSushiTheGreatRobotSniffer', 'MadameSushiTheGreatZombieSniffer', 'MasterJellyTheGreatMonsterFinder', 'LordFluffyTheTrueRobotHunter', 'MadameTrinityTheHeroicRobotEater', 'SirSushiTheGreatVampireEater', 'MasterTrinityTheTrueVampireEater', 'SirBarneyTheTrueDragonSniffer', 'QueenSushiTheGreatVampireSniffer', 'SirSushiTheHeroicMonsterSniffer', 'SirShadowTheMightyVampireFinder']
['QueenTrinityTheTrueRobotMaker', 'LordJellyTheMightyMonsterFinder', 'DuchessBarneyTheMightyMonsterSniffer', 'SirJellyTheGreatDragonFinder', 'DuchessShadowTheHeroicVampireSniffer', 'LordFluffyTheGreatDragonHunter', 'DuchessSushiTheHeroicDragonFinder', 'MadameBarneyTheMightyZombieEater', 'SirShadowTheGreatRobotSniffer', 'MasterJellyTheHeroicZombieEater', 'DuchessFluffyTheGreatMonsterHunter', 'MadameShadowTheGreatRobotSniffer', 'DukeFluffyTheHeroicZombieEater', 'DukeTrinityTheBraveDragonMaker', 'MasterShadowTheMightyRobotSniffer', 'SirFluffyTheBraveMonsterEater', 'DukeShadowTheTrueVampireMaker', 'DukeJellyTheMightyMonsterHunter', 'QueenBarneyTheHeroicRobotHunter', 'DuchessSushiTheBraveRobotEater']
['SirTrinityTheTrueMonsterMaker', 'SirBeetleTheHeroicDragonHunter', 'LordFluffyTheBraveZombieFinder', 'DuchessShadowTheBraveDragonSniffer', 'SirBarneyTheTrueZombieEater', 'MasterFluffyTheTrueDragonFinder', 'DuchessShadowTheHeroicDragonHunter', 'MasterTrinityTheGreatMonsterSniffer', 'LordFluffyTheGreatZombieHunter', 'DukeBarneyTheHeroicRobotFinder', 'MasterFluffyTheHeroicMonsterSniffer', 'DukeTrinityTheGreatRobotEater', 'DuchessSushiTheGreatZombieHunter', 'DuchessTrinityTheMightyMonsterEater', 'DuchessShadowTheGreatZombieMaker', 'QueenTrinityTheMightyZombieSniffer', 'LordBarneyTheMightyDragonMaker', 'MasterShadowTheBraveMonsterMaker', 'DuchessSushiTheHeroicMonsterFinder', 'QueenTrinityTheHeroicZombieFinder']
['MadameTrinityTheHeroicZombieFinder', 'MadameTrinityTheBraveZombieEater', 'QueenJellyTheGreatZombieMaker', 'DuchessBarneyTheBraveMonsterMaker', 'SirShadowTheBraveRobotHunter', 'QueenBeetleTheHeroicMonsterSniffer', 'MasterBeetleTheMightyVampireMaker', 'QueenTrinityTheGreatVampireEater', 'DuchessShadowTheTrueZombieSniffer', 'SirTrinityTheMightyVampireEater', 'MasterSushiTheBraveRobotMaker', 'DuchessFluffyTheBraveVampireFinder', 'SirSushiTheHeroicDragonHunter', 'SirTrinityTheGreatDragonEater', 'DukeFluffyTheHeroicMonsterMaker', 'MasterFluffyTheHeroicRobotMaker', 'LordBarneyTheHeroicZombieHunter', 'DuchessFluffyTheGreatDragonFinder', 'QueenJellyTheTrueDragonSniffer', 'SirJellyTheGreatRobotHunter']
['MadameBeetleTheTrueZombieMaker', 'DuchessFluffyTheGreatRobotEater', 'LordJellyTheBraveVampireHunter', 'MasterSushiTheMightyMonsterEater', 'DukeSushiTheGreatZombieFinder', 'LordTrinityTheHeroicVampireEater', 'MadameJellyTheBraveVampireEater', 'QueenBarneyTheMightyZombieMaker', 'DuchessBarneyTheMightyVampireHunter', 'MadameShadowTheMightyVampireEater', 'MadameBarneyTheMightyDragonSniffer', 'QueenFluffyTheGreatZombieSniffer', 'DukeBeetleTheMightyDragonFinder', 'SirBeetleTheHeroicRobotSniffer', 'MadameBeetleTheHeroicRobotMaker', 'DukeSushiTheTrueZombieEater', 'SirSushiTheGreatRobotFinder', 'DukeShadowTheMightyMonsterSniffer', 'DuchessShadowTheTrueRobotMaker', 'QueenBeetleTheGreatRobotEater']
['SirSushiTheMightyDragonEater', 'SirTrinityTheBraveRobotHunter', 'LordJellyTheGreatVampireSniffer', 'MasterShadowTheTrueZombieEater', 'DuchessShadowTheMightyVampireHunter', 'MasterFluffyTheTrueMonsterEater', 'QueenTrinityTheBraveRobotFinder', 'DuchessBeetleTheMightyMonsterFinder', 'MasterShadowTheHeroicVampireSniffer', 'MadameBeetleTheBraveVampireFinder', 'MadameBeetleTheBraveVampireSniffer', 'MadameBeetleTheTrueZombieHunter', 'MadameBarneyTheHeroicZombieHunter', 'QueenBeetleTheMightyZombieFinder', 'MadameJellyTheMightyMonsterHunter', 'DuchessFluffyTheGreatMonsterMaker', 'DukeShadowTheGreatRobotHunter', 'QueenFluffyTheHeroicDragonHunter', 'DuchessJellyTheTrueVampireMaker']
['LordTrinityTheBraveVampireMaker', 'LordJellyTheBraveVampireSniffer', 'MasterShadowTheMightyZombieEater', 'DuchessTrinityTheTrueMonsterHunter', 'MadameJellyTheHeroicZombieEater', 'DukeSushiTheTrueDragonHunter', 'DuchessSushiTheGreatVampireEater', 'MadameShadowTheHeroicMonsterEater', 'MasterBarneyTheTrueVampireEater', 'MasterShadowTheMightyMonsterFinder', 'LordBeetleTheTrueDragonEater', 'MadameBarneyTheMightyVampireSniffer', 'LordTrinityTheBraveVampireHunter', 'DuchessFluffyTheGreatDragonSniffer', 'SirJellyTheBraveRobotFinder', 'DuchessFluffyTheGreatMonsterSniffer', 'SirShadowTheMightyZombieHunter', 'SirShadowTheHeroicRobotEater', 'SirBarneyTheMightyMonsterSniffer']
['SirJellyTheBraveRobotHunter', 'SirTrinityTheHeroicRobotSniffer', 'QueenShadowTheMightyMonsterMaker', 'MasterShadowTheMightyMonsterSniffer', 'MasterFluffyTheMightyZombieHunter', 'LordTrinityTheTrueZombieHunter', 'DuchessBeetleTheTrueZombieSniffer', 'QueenFluffyTheTrueZombieHunter', 'QueenJellyTheTrueMonsterMaker', 'QueenFluffyTheHeroicVampireMaker', 'LordBarneyTheGreatVampireMaker', 'DukeFluffyTheBraveDragonMaker', 'QueenJellyTheTrueZombieSniffer', 'MadameTrinityTheGreatMonsterSniffer', 'MasterFluffyTheGreatMonsterSniffer', 'DukeJellyTheBraveVampireSniffer', 'MasterJellyTheBraveRobotMaker', 'QueenBeetleTheHeroicDragonSniffer', 'LordJellyTheTrueVampireFinder']
